City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Mogocha,RU,54.91,overcast clouds,53.73,119.77,Yalta Inn
470,Lima,PE,65.89,clear sky,-12.04,-77.03,Gran Hotel Bolivar Lima
475,Whitianga,NZ,65.48,light rain,-36.83,175.7,Beachside Resort Whitianga
477,Marquette,US,60.24,broken clouds,46.53,-87.63,Al Quaal Lodge
484,Teya,RU,58.68,overcast clouds,60.38,92.63,
486,Pangoa,PE,68.79,overcast clouds,-12.12,-73.0,
487,Bethel,US,68.32,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
488,Bet Shemesh,IL,63.57,scattered clouds,31.75,34.99,Bethlehem Suites Dreams
491,Sandy Bay,AU,53.49,scattered clouds,-42.91,147.35,St Ives Hobart Accommodation Tasmania
494,Naze,JP,61.72,light rain,28.37,129.48,Shishime Hotel
503,Rudnogorsk,RU,64.87,clear sky,57.26,103.75,
509,Nimes,FR,63.01,clear sky,43.83,4.35,Hôtel Cesar
510,Afyonkarahisar,TR,50.13,clear sky,38.75,30.67,
511,Deloraine,AU,53.35,scattered clouds,-41.53,146.67,Mountain View Country Inn
516,Gweta,BW,63.34,clear sky,-20.18,25.23,Gweta Lodge
517,Lokosovo,RU,54.34,overcast clouds,61.13,74.82,
518,Broome,US,67.66,few clouds,42.25,-75.83,Chenango Valley State Park
522,Bulgan,MN,60.44,clear sky,48.81,103.53,Bulgan Hotel
523,Codrington,AU,55.17,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
524,Chase,CA,57.15,overcast clouds,50.82,-119.69,Chase Country Inn Motel
526,Hanna,CA,66.85,overcast clouds,51.63,-111.9,West View Motel
530,Kunming,CN,51.87,overcast clouds,25.04,102.72,昆明佳华广场酒店
534,Dayong,CN,60.46,overcast clouds,25.02,118.29,Haiyue Express Hotel
536,Pedreira,BR,66.87,broken clouds,-22.74,-46.9,Residence Park Hotel
539,Yerbogachen,RU,58.3,broken clouds,61.28,108.01,
540,Isperih,BG,55.67,few clouds,43.72,26.83,Guest Rooms Relax
544,Bojnurd,IR,61.59,clear sky,37.47,57.33,Homag Commercial & Social Complex
545,Alfeld,DE,55.53,clear sky,51.98,9.82,Räuber Lippoldskrug
546,Urumqi,CN,59.95,broken clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
548,Calvia,ES,68.07,overcast clouds,39.57,2.51,Castell Son Claret
549,Asau,RO,54.52,overcast clouds,46.43,26.4,Casa Mika Ciobanus
552,Litovko,RU,55.96,clear sky,49.24,135.17,
555,Zhezkazgan,KZ,53.58,clear sky,47.8,67.71,Hotel Zumrat
558,Stornoway,GB,51.93,overcast clouds,58.21,-6.39,Caladh Inn
559,Tres Arroyos,AR,50.83,overcast clouds,-38.37,-60.28,Habitacion Triple con baño y entrada privada
561,Colac,AU,54.18,overcast clouds,-38.33,143.58,Otway Gate Motel
564,Ankazoabo,MG,62.15,clear sky,-22.28,44.52,ENCEIN BUREAU CISCO
568,Cabra,ES,57.52,overcast clouds,37.47,-4.44,MS Fuente Las Piedras
570,Chipata,ZM,54.54,clear sky,-13.63,32.65,Protea Hotel by Marriott Chipata
571,Hluti,SZ,57.54,clear sky,-27.22,31.62,
573,Vegreville,CA,61.93,overcast clouds,53.5,-112.05,Wild Rose Inn
578,Fairbanks,US,52.3,broken clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
